Activity,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,LinearAccX,LinearAccY,LinearAccZ,Subject
WALKING,1.63E+12,-0.437887,2.362912,8.090134,0.028404,-0.332759,-0.107509,-0.988754,0.034856,-0.99919,1
WALKING,1.63E+12,0.51685,2.830111,7.343573,0.018784,-0.168594,-0.302217,-1.205701,-0.23956,2.37246,1
WALKING,1.63E+12,-0.795015,3.601796,9.409775,0.122628,0.263122,0.075134,-0.252412,-0.837438,-0.975986,1
WALKING,1.63E+12,-1.446461,3.064608,10.599008,0.03604,-0.091322,0.403465,0.488208,0.552766,-1.121081,1
WALKING,1.63E+12,-0.793221,2.845066,8.049456,0.301911,0.005192,0.075898,0.028344,0.478232,1.499631,1
WALKING,1.63E+12,-0.737588,3.864408,8.729017,0.068262,-0.149505,-0.017562,-0.304285,-0.145738,0.061934,1
WALKING,1.63E+12,0.982254,3.462414,9.614362,-0.227388,-0.095598,-0.118352,-1.395689,0.335862,-0.551428,1
WALKING,1.63E+12,-0.250648,3.230311,7.146165,0.000611,0.703391,-0.002291,-1.035337,-0.279438,1.710649,1
WALKING,1.63E+12,-1.427917,4.769494,9.861421,0.008552,0.144618,0.2506,-0.484068,-0.903901,-1.144157,1
WALKING,1.63E+12,-2.092523,2.718845,9.165708,-0.076203,-0.612832,0.11148,1.13175,0.771102,0.991319,1
WALKING,1.63E+12,-0.210568,2.449054,8.180463,0.689036,-0.919478,0.148741,2.152021,1.599794,0.87686,1
WALKING,1.63E+12,2.649453,4.666004,7.9011,-0.526245,0.626729,1.092348,-2.579171,-0.936068,-0.765832,1
WALKING,1.63E+12,0.448654,2.356332,9.44806,-0.086435,1.107161,0.898404,-1.461318,0.551962,0.954482,1
WALKING,1.63E+12,-0.177069,3.71067,8.486146,-0.350626,1.388761,0.678651,1.067079,2.282572,3.102706,1
WALKING,1.63E+12,-4.463212,-0.227318,9.472587,-0.931848,1.718008,1.122432,0.178973,2.832779,-4.583601,1
WALKING,1.63E+12,-3.028715,-7.679166,2.830709,-1.646081,3.310945,-3.577885,-9.843836,9.068584,6.231187,1
WALKING,1.63E+12,-22.457836,-4.506881,2.384448,-0.236703,3.151666,-0.725992,20.729574,-1.770262,-1.814606,1
WALKING,1.63E+12,-7.431509,-4.674379,0.567697,-0.295192,-0.877177,1.853769,-4.999566,1.875868,1.465747,1
WALKING,1.63E+12,-5.009374,-5.583054,-0.606581,-1.262316,-0.372159,-0.186919,-3.782889,0.834941,0.248409,1
